Uuid,Void/Retire,Name,Description,Duration,Start Time,End Time,Max Load,Speciality,Location,Label Colour
7ba3aa21-cc56-47ca-bb4d-a60549f666c0,,Consulta ambulatoria por médico general,"Atención ambulatoria realizada por un médico general para diagnóstico y tratamiento básico.",,,,,3c9a7b2d-4e5f-489a-bd78-1f6e3c8d5a01,,,#feecae
1ef43565-9c96-4f58-bfd2-c864c7cedac1,,Teleconsulta por médico,"Consulta médica realizada a distancia mediante tecnología de comunicación.",,,,,5f7c1d89-ae34-4b8c-a231-0d8e5b6c3f10,,,#defbe6
4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,,Atención ambulatoria por enfermera(o),"Atención ambulatoria brindada por personal de enfermería para cuidados generales.",,,,,d8e2f4a0-b5c3-41d7-942a-6c4a1e9f3b22,,,#9ef0f0
c8d4f6e2-5b7a-41d9-93e4-7f6a8b3c2d01,,Atención ambulatoria por psicólogo(a),"Consulta ambulatoria enfocada en la salud mental realizada por psicólogo(a).",,,,,14106bb7-dad6-4446-809d-737f4c128ae3,,,#ffccf2
a6d7f9b3-2c5e-48d1-93e4-7f8a6b5c2d02,,Atención ambulatoria por obstetra,"Consulta ambulatoria especializada en obstetricia, atendida por un obstetra.",,,,,4e6f8d2c-3a5b-495e-9d78-2f4c6a8b1e09,,,#ffb3b3
b3c2d4e5-f6a7-48d9-93e1-8f7a6b5c4d02,,Atención ambulatoria por cirujano dentista,"Atención ambulatoria en odontología realizada por cirujano dentista.",,,,,3c9a7b2d-4e5f-489a-bd78-1f6e3c8d5a01,,,#b3e0ff
d4e5f6a7-b8c9-41e2-93f3-1a9b8c7d6e04,,Atención en tópico de inyectables y nebulizaciones,"Procedimientos ambulatorios de inyectables y nebulizaciones en tópicos específicos.",,,,,d8e2f4a0-b5c3-41d7-942a-6c4a1e9f3b22,,,#ffd699
e5f6a7b8-c9d0-42f3-93e4-2b0a9c8d7e05,,Atención de urgencias y emergencias por médico especialista de medicina interna,"Atención inmediata en urgencias y emergencias proporcionada por un médico especialista en medicina interna.",,,,,14106bb7-dad6-4446-809d-737f4c128ae3,,,#ffdd99
f7a8b9c0-d1e2-43f4-93e5-3b1a9c8d7e06,,Atención inmediata del recién nacido por médico subespecialista en neonatología,"Atención inmediata para recién nacidos realizada por un médico subespecialista en neonatología.",,,,,5f7c1d89-ae34-4b8c-a231-0d8e5b6c3f10,,,#e6b3cc
g8b9c0d1-e2f3-54g5-93e6-4c2b0a9d8f07,,Hospitalización de Cirugía General,"Cuidado hospitalario para pacientes sometidos a procedimientos de cirugía general.",,,,,7e5d3c2b-8a9f-41d6-93c4-6b2a1f8e5d07,,,#cce6ff
h9c0d1e2-f3g4-65h6-93e7-5d3c0b9e9g08,,Procedimientos de Laboratorio Clínico Tipo II-1,"Realización de procedimientos de laboratorio clínico de complejidad tipo II-1 para diagnóstico.",,,,,2b4d6f8a-1c3e-49d5-93a7-8e5f6b3c2d01,,,#d9e6cc
i0d1e2f3-g4h5-76i7-93e8-6e4d1c0f0h09,,Ecografía general y Doppler,"Estudio de ecografía general y Doppler para evaluación diagnóstica.",,,,,4ec5c4fe-cfe0-48ff-9e4d-2f201078feae,,,#e6ccb3
j1e2f3g4-h5i6-87j8-93e9-7f5e2d1g1i10,,Atención en farmacia clínica,"Atención farmacéutica especializada en el ámbito clínico, incluyendo asesoramiento y dispensación de medicamentos.",,,,,d3e5f7a9-1b2c-49d5-93a7-8e5f6b3c2d02,,,#e6e6fa
