UUID,Void/Retire,Name,Description,HL7 Code,Unique ID
1ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,SNOMED CT,SNOMED Preferred mapping,SCT,
2ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,SNOMED NP,Non-preferred SNOMED CT mappings,,
4ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,RxNORM,RxNORM CUI,,
5ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,RxNORM Comb,RxNORM Combination generics MVP Code,,
6ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,LOINC,LOINC code,,
12ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,PIH Malawi,Partners in Health Malawi concept dictionary,,
13ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,AMPATH,AMPATH concept dictionary,,
14ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,SNOMED MVP,MVP Namespace Identifier extensions to SNOMED CT,,
18ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,HL7 2.x Route of Administration,Members of value set from HL7 for routes of administration,HL70162,
19ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,3BT,Belgian Bilingual Bi-encoded Thesaurus (3BT),,
20ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,ICPC2,International Classification of Primary Care version 2 from WONCA.,,
21ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,CIEL,Columbia International eHealth Laboratory concept ID,,
24ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,IMO ProblemIT,"Intelligent Medical Objects, Inc. problem/disease/finding datasource",,
25ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,IMO ProcedureIT,"Intelligent Medical Objects, Inc. procedure/test datasource",,
27ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,NDF-RT NUI,Unique numeric indicator from NDF-RT drug information database,,
28ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,FDA Route of Administration,"Description.  This standard provides for all routes of administration for drugs. Source.  COMIS Reference table (which is used by the Drug Product Reference File to generate Approved Drug Products with Therapeutic Equivalence Evaluations (a.k.a. ""The Orange Book"")), and the Drug Registration and Listing Database, Office of Epidemiology and Biosurveillance Database.  Also, the names (but not the definitions or the numeric codes) that are represented in blue have been harmonized with the E2B route of administration terms for the International Conference on Harmonization (ICH).",,
29ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,NCI Concept Code,"National Cancer Institute concept code URL: http://nciterms.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus",,
34ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,MED-RT NUI,VHA's Medication Reference Terminology,,
fb9aaaf1-65e2-4c18-b53c-16b575f2f385,,PIH,Equivalent concept ID in Master Partners-in-Health Concept dictionary,,
4faa9f66-d80f-4685-9645-af206fce7fa5,,ICD-10,"International Classification of Diseases, 10th Revision (ICD-10)",ICD-10,
ddb6b595-0b85-4a80-9243-efe4ba404eef,,org.openmrs.module.mdrtb,The required concepts for the MDR-TB module,,
9e2cf36d-5eb2-44b6-945a-6d456aa50794,,org.openmrs.module.emrapi,The required concepts for the EMRAPI module,,
1b880698-489f-59ed-bd5b-f42a2f5c8e81,,HL7-MedicationDispenseStatus,Medication dispense status for FHIR,,
50ef5518-f4e3-4c49-9352-0002202005e9,,ANCDAK,WHO SMART Guideline Data Elements,,
37ADDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,,KenyaEMR,Kenya National Electronic Medical Record Concept Dictionary,,
2b3c2a2a-768a-102f-83f4-12313b04a615,,SNOMED-MVP,MVP Namespace Identifier extensions to SNOMED CT,,
cf7414cf-4423-4110-85b9-eae8689691de,,IMO-ProblemIT,"Intelligent Medical Objects, Inc. problem/disease/finding datasource",,
3f65bd34-26fe-102b-80cb-0017a47871b2,,ICD-10-WHO,"International Classification for Diseases version 10, WHO",,
2b3c2778-768a-102f-83f4-12313b04a615,,PIH-Malawi,"Partners In Health, Malawi",,
4277c661-9198-4618-90f4-13b7824b0184,,SNOMED-UK,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/333199/,,
a23ff4da-aaac-456f-8d39-1e25c97274a7,,IMO-ProcedureIT,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/319916/,,
fac8a60a-bb4d-4595-ad35-b58c4fff522f,,SNOMED-US,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/308332/,,
47d94ae7-4513-4f44-a5ab-07b5cfc88f3a,,ICD-11-WHO,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/269136/,,
e5d252c1-b071-4c25-9027-68f6e94de37e,,HL-7-CVX,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/956365/,,
dbf095ee-0fd3-4848-9481-ab3d88c5f24f,,MVX,Imported from https://api.openconceptlab.org/orgs/CIEL/sources/CIEL/mappings/630661/,,
547ad52b-c5bd-4a3a-b9a6-bbe9691aefab,,OHRI,Open HIV Reference Implementation,,
229f549b-708a-590b-92a3-54c65b44c7d3,,OCT,Concept Dictionary for OHRI Care and Treatment,,
b8a180b8-9344-5cf2-bd90-f50a5ce15fb4,,OHTSTemp,Working Dictionary for Custom Concepts,,
e017f0e9-01b7-5e38-a373-9a133e5f8513,,WHOATC,"WHO Anatomical Therapeutic Chemical Classification - ATC drug classification from the World Health Organization",,
454ddb63-2ea2-51b1-9938-698183b5f5d7,,MED-RT-NUI,"The new Medication Reference Terminology (MED-RT) is the evolutionary successor to the Veterans Health Administration's (VHA) National Drug File-Reference Terminology (NDF-RT)",,
611b8b45-a7c6-5f76-ab25-9379532e2e8b,,NDF-RT-NUI,"NDF-RT NUI: Unique numeric indicator from NDF-RT drug information database",,
9187c61a-b524-552a-811a-0924e0f6cbd1,,UCUM,"The Unified Code for Units of Measure - A code system intended to include all units of measures being contemporarily used in international science, engineering, and business",,
00c3cf9f-0835-58fc-ab11-f9b1b0daac0a,,ICD-10-WHO-2nd,ICD-10-WHO-2nd,,
a1245eaa-5def-5f0e-ba96-0557af638bb7,,FDA-Route-of-Administration,FDA-Route-of-Administration,,
b517f35b-294e-5324-bc5a-89dc4c25454b,,NCI-Concept-Code,NCI-Concept-Code,,
0070addd-309d-5f14-acee-c5e4c8a61090,,HL7-2.x-Route-of-Administration,HL7-2.x-Route-of-Administration,,
f1fd7d5c-af25-5c24-860e-bce2203b5b38,,ANC-DAK,ANC-DAK,,
b553904d-23c0-5394-b115-bc132505c053,,HL7-ActSubstanceAdminSubstitutionCode,HL7-ActSubstanceAdminSubstitutionCode,,
23c66054-1469-5486-ba22-52b0b89d876d,,ICD-10-WHO-NP2,ICD-10-WHO-NP2,,
df272316-641f-5690-99fa-937df27a81f5,,HL7-DiagnosticReportStatus,HL7-DiagnosticReportStatus,,
4d85531c-f351-5f85-aae2-2856e5f51e11,,CCAM,CCAM,,
f6417e5c-4e0c-5b54-96f9-65ba241f0949,,OS4H.MASTER,Imported from https://api.openconceptlab.org/orgs/OHRITechGroup/sources/TB_SC/mappings/1/,,
c3823440-943e-11ee-b9d1-0242ac120002,,OHRITB,TB Functional Package,,
